,area1,area2,area3,area4,area5,area6,area7,area8,mean_heart,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,dist_gap1_1,dist_gap1_2,dist_gap1_3,dist_gap1_4,dist_gap1_5,dist_gap2_1,dist_gap2_2,dist_gap2_3,dist_gap2_4,dist_gap2_5,dist_gap3_1,dist_gap3_2,dist_gap3_3,dist_gap3_4,dist_gap3_5,dist_gap4_1,dist_gap4_2,dist_gap4_3,dist_gap4_4,dist_gap4_5,dist_gap5_1,dist_gap5_2,dist_gap5_3,dist_gap5_4,dist_gap5_5,dist_gap6_1,dist_gap6_2,dist_gap6_3,dist_gap6_4,dist_gap6_5,dist_gap7_1,dist_gap7_2,dist_gap7_3,dist_gap7_4,dist_gap7_5,dist_gap8_1,dist_gap8_2,dist_gap8_3,dist_gap8_4,dist_gap8_5,class,simi,diff,avg_dis1,avg_dis2,avg_dis3,avg_dis4,avg_dis5
327,544.5,813.0,735.0,1087.0,1496.5,518.0,438.5,815.5,0.0,90.0,30.76271953423892,-16.11341823308929,-64.05770451012833,-106.46001481204004,-129.22567409733674,-176.76029970389789,132.2072976342867,97.67292357659824,53.31041174104736,50.69516742254631,48.76474136094644,82.0,91.54780172128658,25.238858928247925,26.92582403567252,26.40075756488817,104.9952379872535,96.02083107326244,31.400636936215164,33.24154027718932,35.0142828000232,83.38465086573187,93.34880824091972,24.839484696748443,28.0178514522438,32.802438933713454,73.24616030891995,78.00640999302557,20.223748416156685,14.317821063276352,12.206555615733702,91.54780172128658,113.00442469213318,59.64059020499378,55.0,53.2634959423431,103.27632836231156,69.46221994724903,11.04536101718726,24.08318915758459,37.21558813185679,96.13012014972206,70.03570517957252,16.401219466856727,27.459060435491963,42.72001872658765,97.62171889492625,Unrecognizable,0.763,20.76001954353259,88.375,31.5,32.125,35.625,91.125
84,3290.0,3355.5,3477.5,3364.5,3453.5,3481.0,3416.0,3393.5,3403.9375,75.14138555207533,33.690067525979785,-14.796762245057346,-65.13630342824813,-111.31791227546157,-159.7174409110834,158.6293777306568,121.13897243697885,92.00543462209176,17.72004514666935,6.324555320336759,16.278820596099706,92.02173656261871,95.4829827770373,11.6619037896906,0.0,11.6619037896906,89.1403387922662,87.14355971613737,12.041594578792296,1.0,8.94427190999916,86.09297300012354,93.38094023943002,11.704699910719626,1.0,14.560219778561036,90.52071586106683,93.02150289046077,9.433981132056603,3.605551275463989,8.06225774829855,91.00549433962765,96.87620966986684,13.0,3.1622776601683795,10.63014581273465,88.52683209061533,94.02127418834527,10.04987562112089,2.23606797749979,11.180339887498947,92.02173656261871,82.02438661763951,11.180339887498947,0.0,6.324555320336759,80.72174428244226,Complete,0.9035,7.889987782928699,91.5,10.75,2.0,10.5,88.5
145,3495.0,3405.0,3434.5,3341.5,3453.0,3393.5,3393.5,3357.0,3409.125,72.89727103094764,36.634113875967415,-13.172553423326892,-63.43494882292201,-105.01836063115068,-160.20112364547506,159.19320898728878,120.96375653207352,91.0,7.280109889280518,2.0,8.06225774829855,89.00561780022652,91.54780172128658,10.04987562112089,1.0,8.06225774829855,87.32124598286491,90.0499861188218,8.94427190999916,1.4142135623730951,7.211102550927978,91.0494371207203,85.58621384311844,8.06225774829855,3.605551275463989,10.63014581273465,92.69843580125828,91.19758768739445,13.038404810405298,1.4142135623730951,11.40175425099138,91.19758768739445,92.65527507918802,13.92838827718412,5.0990195135927845,13.038404810405298,89.27485648266257,88.0056816347672,10.0,1.4142135623730951,6.0,89.02246907382428,85.63293758829018,11.6619037896906,1.0,9.848857801796104,86.31338250816034,Complete,0.9716,10.401834135649947,89.125,8.875,1.875,9.0,89.25
98,3187.5,3165.0,3208.5,3071.0,3152.0,3191.0,3224.5,3173.5,3171.625,79.38034472384487,34.33021719550332,-16.11341823308929,-63.43494882292201,-105.2551187030578,-154.48612957246576,162.58202920779715,122.12499844038751,90.13878188659972,8.94427190999916,2.0,8.246211251235321,96.08329719571452,89.9388681271896,12.16552506059644,2.23606797749979,10.44030650891055,89.27485648266257,89.02246907382428,8.246211251235321,2.0,8.246211251235321,84.0535543567314,87.72684879784524,10.44030650891055,1.0,10.44030650891055,93.43446901438462,90.08884503644168,14.317821063276352,0.0,15.132745950421556,91.02197536858888,89.8276126811795,15.132745950421556,0.0,15.231546211727816,90.52071586106683,87.0,13.038404810405298,0.0,11.0,88.0056816347672,83.43860018001261,11.6619037896906,2.0,12.727922061357855,82.13403679352427,Complete,0.966,16.93199145751664,88.0,9.75,1.125,11.125,89.125
341,737.5,1086.5,1523.0,511.0,439.5,819.0,549.0,814.0,0.0,72.58202920779716,31.675468738109213,-13.736268305622572,-34.902495615924714,-88.87669728592458,-139.82076607809267,-178.91907581333933,117.05059700708614,91.13725912051558,48.25971404805462,34.132096331752024,20.0,79.22752047110903,80.65977932030313,26.40075756488817,31.064449134018133,35.805027579936315,70.9365914038728,76.00657866263946,19.235384061671343,19.4164878389476,21.18962010041709,101.71037311896951,124.01612798341996,59.90826320300064,44.68780594300866,50.20956084253277,111.19802156513396,73.06161783043132,13.152946437965904,18.027756377319943,42.579337712087536,92.0,68.59300255857006,27.586228448267445,27.65863337187866,29.154759474226505,96.17692030835671,98.0612053770501,62.81719509815764,46.87216658103186,32.28002478313795,85.58621384311844,89.37561188601732,25.55386467836128,29.154759474226505,47.16990566028302,93.38094023943002,Unrecognizable,0.7703,51.97914754261056,87.375,32.875,31.0,34.5,90.875
303,3275.5,3237.5,3129.0,2209.5,3297.0,3294.5,3241.5,3237.5,0.0,68.96248897457819,43.09084756700362,-14.931417178137554,-50.85601358542896,-98.9726266148964,-152.24145939893998,158.4286928087454,113.68208772453846,92.02173656261871,14.317821063276352,8.48528137423857,11.40175425099138,93.02150289046077,98.00510190801292,21.095023109728988,8.06225774829855,5.830951894845301,89.27485648266257,91.0,13.0,8.54400374531753,10.770329614269007,77.10382610480494,80.15609770940699,10.770329614269007,7.810249675906654,17.029386365926403,90.9065454189081,72.69112738154499,20.591260281974,9.486832980505138,16.1245154965971,78.33900688673555,92.31467922275417,8.0,9.055385138137416,15.0,77.78174593052023,94.02127418834527,6.708203932499369,5.0,15.524174696260024,90.00555538409837,79.02531240052139,11.40175425099138,4.47213595499958,14.142135623730953,99.03534722511958,Broken,0.9113,18.80546410695996,87.25,12.75,7.25,12.875,86.625
136,3083.0,3017.5,3359.0,3229.0,3225.5,1606.5,3402.5,3330.5,3031.6875,72.21611155730749,35.53767779197438,-13.172553423326892,-63.43494882292201,-111.3706222693432,-155.82089285331082,161.20011484134733,117.89727103094764,90.0222194794152,15.132745950421556,1.0,16.278820596099706,91.08786966440702,89.27485648266257,14.7648230602334,2.8284271247461903,8.54400374531753,82.03657720797473,84.0,12.649110640673518,1.4142135623730951,12.206555615733702,83.00602387778854,84.86459803710851,10.0,2.23606797749979,12.649110640673518,96.54014708917737,87.05170877128145,17.4928556845359,7.071067811865476,15.231546211727816,87.0,86.97700845625813,12.649110640673518,1.0,9.486832980505138,87.72684879784524,92.0,10.295630140987,6.324555320336759,12.649110640673518,90.0222194794152,80.05623023850174,12.041594578792296,0.0,12.041594578792296,84.86459803710851,Complete,0.8452,15.200770542418464,86.5,12.25,2.5,12.0,87.5
74,3290.0,3355.5,3477.5,3364.5,3453.5,3481.0,3416.0,3393.5,3403.9375,78.46537934635528,29.1676133795778,-14.931417178137554,-65.55604521958347,-114.07549825507884,-156.80140948635182,159.8293465881496,120.76271953423893,94.04786015641186,14.142135623730953,4.123105625617661,14.142135623730953,90.0,94.04786015641186,10.0,3.1622776601683795,10.0,89.10667763978185,88.05112151472007,12.041594578792296,4.123105625617661,13.341664064126334,86.09297300012354,85.63293758829018,9.848857801796104,1.4142135623730951,10.0,95.4829827770373,89.05054744357274,10.295630140987,2.23606797749979,10.770329614269007,94.02127418834527,86.97700845625813,13.601470508735444,3.0,7.071067811865476,91.67878707749138,94.0,12.083045973594572,4.123105625617661,11.04536101718726,94.04786015641186,88.41379982785493,13.0,1.4142135623730951,15.652475842498529,86.27861844049197,Complete,0.9035,12.489643645334478,89.75,10.625,2.75,11.25,90.625
103,3464.5,3242.0,3050.5,3432.5,3430.5,3256.0,3293.5,3421.0,3323.8125,106.69924423399362,26.075355583948767,-17.020525611519858,-58.840695491655616,-105.35013649242444,-149.47029410006587,167.59258147259928,116.565051177078,97.40636529508735,14.317821063276352,5.0,14.866068747318506,96.46242791885346,94.76286192385707,13.601470508735444,8.06225774829855,12.16552506059644,96.16652224137046,90.00555538409837,9.219544457292889,2.0,8.54400374531753,90.19977827023745,87.72684879784524,11.180339887498947,1.0,12.083045973594572,92.19544457292888,85.0,13.92838827718412,3.0,12.649110640673518,81.0,92.69843580125828,11.180339887498947,3.605551275463989,16.1245154965971,91.2414379544733,85.14693182963201,9.486832980505138,1.0,11.0,89.02246907382428,85.56284240252891,8.602325267042627,1.4142135623730951,8.602325267042627,83.45058418010026,Complete,0.9325,21.940662728417298,89.375,10.0,3.0,11.625,89.75
151,3398.5,3349.5,3425.0,3362.5,3296.5,3431.0,3488.5,3432.0,3397.9375,69.92847413546127,28.70595254340109,-13.736268305622572,-63.43494882292201,-107.19854122006586,-160.4268741695898,158.19859051364818,116.565051177078,92.0869154657707,10.198039027185567,2.8284271247461903,7.280109889280518,94.0,94.847245611035,19.313207915827967,3.605551275463989,9.219544457292889,92.69843580125828,90.0,13.341664064126334,1.0,13.152946437965904,89.02246907382428,89.9388681271896,10.770329614269007,1.4142135623730951,11.40175425099138,88.52683209061533,89.00561780022652,8.602325267042627,1.4142135623730951,7.615773105863909,87.00574693662483,94.79451460923254,15.811388300841896,1.4142135623730951,12.529964086141668,84.1486779456457,89.05054744357274,14.0356688476182,4.123105625617661,11.40175425099138,92.0869154657707,85.63293758829018,12.529964086141668,2.23606797749979,16.1245154965971,87.0,Complete,0.9766,17.769163331251857,90.25,11.375,1.875,10.75,89.125
266,3362.0,3135.5,1650.5,3225.5,3562.5,3290.0,3047.0,3309.0,0.0,73.03385189146381,30.411081267125365,-15.35013649242442,-53.3929251873925,-112.2034785320574,-155.05609473657543,165.20323775494268,122.6609127216738,81.00617260431454,8.06225774829855,10.04987562112089,6.0,86.09297300012354,94.75230867899737,8.246211251235321,10.63014581273465,18.97366596101028,89.87213138676528,75.31268153505093,7.071067811865476,5.385164807134504,5.385164807134504,85.47514258543241,86.68333173107735,2.8284271247461903,4.0,7.280109889280518,99.0050503762308,82.05485969764375,5.0,13.892443989449804,5.0990195135927845,95.08417323613853,88.86506625215557,19.697715603592208,6.0,10.0,78.87331614684399,80.05623023850174,7.211102550927978,7.615773105863909,28.0713376952364,94.19129471453292,97.0,5.656854249492381,7.810249675906654,8.06225774829855,86.45229898620394,Broken,0.8447,28.25356739790584,85.375,7.625,7.75,10.875,89.0
191,3140.5,3290.5,3236.0,3312.0,3307.0,3283.0,3270.0,3216.5,3256.9375,70.90650799951439,23.838740183171723,-14.620873988631656,-60.25511870305778,-108.82471001824008,-153.92464441605125,163.49563861824498,120.41108126712535,87.0,16.15549442140351,1.4142135623730951,9.219544457292889,94.02127418834527,94.06912352095134,15.652475842498529,2.23606797749979,10.63014581273465,91.93475947648965,96.02083107326244,11.6619037896906,1.4142135623730951,11.31370849898476,91.00549433962765,86.27861844049197,9.848857801796104,1.4142135623730951,13.92838827718412,92.84934033152848,93.04837451562494,10.770329614269007,2.23606797749979,12.041594578792296,90.00555538409837,87.72684879784524,9.486832980505138,1.4142135623730951,9.433981132056603,82.03657720797473,84.02380615040002,14.317821063276352,3.0,13.0,85.00588214941364,82.73451516749222,13.892443989449804,4.47213595499958,20.8806130178211,92.02173656261871,Complete,0.9349,21.54543237039134,88.625,10.75,1.875,12.125,89.625
32,2799.5,3488.5,3381.5,3438.0,3428.0,1959.0,3470.0,3515.5,3185.0,70.49755149333778,30.173520029644333,-12.65255650055797,-65.13630342824813,-108.43494882292202,-153.434948822922,157.28558764683277,115.01689347810004,90.00555538409837,12.0,3.1622776601683795,9.848857801796104,94.0,91.28526715741155,9.219544457292889,1.4142135623730951,9.433981132056603,92.63368717696602,92.00543462209176,14.142135623730953,1.4142135623730951,16.15549442140351,94.13288479590966,91.21951545584967,14.317821063276352,2.0,13.45362404707371,94.06912352095134,90.0499861188218,13.038404810405298,6.0,12.041594578792296,93.04837451562494,90.52071586106683,13.41640786499874,2.23606797749979,12.041594578792296,97.62171889492625,95.0,11.180339887498947,2.0,10.44030650891055,90.00555538409837,87.68124086713189,8.94427190999916,1.0,10.63014581273465,89.1403387922662,Complete,0.889,12.668544099254492,90.75,10.625,2.25,11.375,92.875
148,3341.0,3326.5,3354.0,3313.5,3350.5,3392.5,3321.0,3260.5,3332.4375,76.21840276434638,32.005383208083494,-15.35013649242442,-56.309932474020215,-104.03624346792648,-149.9816325723909,160.86635679409451,117.05059700708614,89.00561780022652,10.198039027185567,1.4142135623730951,6.4031242374328485,95.0,92.84934033152848,12.36931687685298,2.0,7.280109889280518,83.48652585896721,85.0,10.0,3.1622776601683795,9.486832980505138,84.00595217006948,88.52683209061533,13.41640786499874,1.4142135623730951,16.1245154965971,96.04686356149271,90.0222194794152,10.04987562112089,1.4142135623730951,11.180339887498947,87.14355971613737,87.78382538941898,14.560219778561036,0.0,12.083045973594572,85.56284240252891,89.02246907382428,8.0,2.8284271247461903,11.0,87.09190547921202,84.17244204607586,12.041594578792296,4.123105625617661,14.560219778561036,89.10667763978185,Complete,0.9446,17.282929167047577,88.0,10.375,1.75,10.75,88.25
